Certification Body	Certified Organization Name	TE ID	Retired TE ID	License Number	Native Name	Country/Area	SC Number	SC Version Number	Standard	SC Status	Last Updated Date
ASCP	Haiyang Runshengyuan Packaging Products Co., Ltd.	TE-00018037		TE-00018037		China	ASC-00018037-GRS-2025-00028200	ASC-00018037-GRS-2025-00028200	GRS	Valid	2025-03-25
ASCP	Shishi Baolida Garments Printing Co.,Ltd	TE-00020264		TE-00020264		China	ASC-00020264-OCS-2025-00040600	ASC-00020264-OCS-2025-00040600	OCS	Valid	2025-09-22
ASCP	Qingdao Camellia Jewelry Co., Ltd.	TE-00020322		TE-00020322		China	ASC-00020322-RCS-2025-00051600	ASC-00020322-RCS-2025-00051600	RCS	Valid	2025-11-21
ASCP	CHUNG WAH LABEL MANUFACTORY	TE-00020747		TE-00020747		China	ASC-00020747-GRS-2025-00049800	ASC-00020747-GRS-2025-00049800	GRS	Valid	2025-11-15
ASCP	SHANGHAI MERION INDUSTRIAL CO., LTD.	TE-00022379		TE-00022379		China	ASC-00022379-MUL-2025-00039800	ASC-00022379-MUL-2025-00039804	GRS,RCS	Valid	2025-11-25
ASCP	QUANZHOU HONGHAO DRESS WEAVING CO., LTD.	TE-00024477		TE-00024477		China	ASC-00024477-GRS-2024-00020500	ASC-00024477-GRS-2024-00020502	GRS	Valid	2025-01-22
ASCP	SUZHOU RUNHUI PACKAGING MATERIAL CO., LTD	TE-00025174		TE-00025174		China	ASC-00025174-GRS-2025-00043100	ASC-00025174-GRS-2025-00043100	GRS	Valid	2025-09-04
ASCP	CHANGZHOU SHENGJIN TEXTILE CO., LTD.	TE-00025413		TE-00025413		China	ASC-00025413-GRS-2025-00046000	ASC-00025413-GRS-2025-00046001	GRS	Valid	2025-10-31
ASCP	DONGGUAN BAISHENG WOVEN LABEL CO., LTD	TE-00026398		TE-00026398		China	ASC-00026398-GRS-2025-00025900	ASC-00026398-GRS-2025-00025900	GRS	Valid	2025-01-15
ASCP	Taicang Baihong Textile Co., Ltd.	TE-00027520		TE-00027520		China	ASC-00027520-GRS-2025-00049600	ASC-00027520-GRS-2025-00049601	GRS	Valid	2025-11-15
ASCP	Dalian Huayi Apparel Co.,Ltd.	TE-00027742		TE-00027742		China	ASC-00027742-GRS-2024-00022600	ASC-00027742-GRS-2024-00022601	GRS	Valid	2025-09-04
ASCP	TIANCHANG HONGYUN GARMENT CO., LTD	TE-00027774		TE-00027774		China	ASC-00027774-GRS-2025-00025100	ASC-00027774-GRS-2025-00025101	GRS	Valid	2025-03-24
ASCP	Ningbo Hengda Knitting Co., LTD	TE-00027861		TE-00027861		China	ASC-00027861-GRS-2025-00046900	ASC-00027861-GRS-2025-00046900	GRS	Valid	2025-10-20
ASCP	RUSHAN YIJIA SWEATER PRODUCTS CO., LTD	TE-00029188		TE-00029188		China	ASC-00029188-GRS-2025-00033800	ASC-00029188-GRS-2025-00033804	GRS	Valid	2025-08-05
ASCP	RUSHAN JIALI GARMENT SHAREHOLDING CO.,LTD.	TE-00029748		TE-00029748		China	ASC-00029748-GRS-2025-00036200	ASC-00029748-GRS-2025-00036203	GRS	Valid	2025-08-20
ASCP	FOSHAN KACHUN GARMENT CO., LTD.	TE-00030575		TE-00030575		China	ASC-00030575-GRS-2025-00035000	ASC-00030575-GRS-2025-00035004	GRS	Valid	2025-10-09
ASCP	Suzhou Jiarui Shoes Co., Ltd.	TE-00031344		TE-00031344		China	ASC-00031344-OCS-2025-00036000	ASC-00031344-OCS-2025-00036000	OCS	Valid	2025-06-27
ASCP	Dongyang Chenshi Plastic Co., Ltd.	TE-00031855		TE-00031855		China	ASC-00031855-GRS-2025-00046600	ASC-00031855-GRS-2025-00046600	GRS	Valid	2025-10-18
ASCP	PINGHU GOLD ELEPHANT TEXTILE CO., LTD	TE-00031954		TE-00031954		China	ASC-00031954-GRS-2025-00050000	ASC-00031954-GRS-2025-00050000	GRS	Valid	2025-11-17
ASCP	PINGHU GOLD ELEPHANT TEXTILE CO., LTD	TE-00031954		TE-00031954		China	ASC-00031954-RCS-2025-00050000	ASC-00031954-RCS-2025-00050000	RCS	Valid	2025-11-19
ASCP	NANCHANG ECHOICE CLOTHING FACTORY CO., LTD.	TE-00032847		TE-00032847		China	ASC-00032847-GRS-2024-00022300	ASC-00032847-GRS-2024-00022301	GRS	Expired	2025-01-15
ASCP	JURONG YAMEI CLOTHING CO.,LTD	TE-00032918		TE-00032918		China	ASC-00032918-GRS-2025-00039400	ASC-00032918-GRS-2025-00039402	GRS	Valid	2025-10-15
ASCP	Wujiang Enno Fashion Co., Ltd.	TE-00033520		TE-00033520		China	ASC-00033520-GRS-2025-00035800	ASC-00033520-GRS-2025-00035803	GRS	Valid	2025-09-09
ASCP	JINJIANG LONGHU TOWN KENGWEI TONGYI EMBOSSING FACTORY	TE-00033577		TE-00033577		China	ASC-00033577-GRS-2025-00039000	ASC-00033577-GRS-2025-00039000	GRS	Valid	2025-07-28
ASCP	Jiangsu Lantong Outdoor Products Co., Ltd.	TE-00034762		TE-00034762		China	ASC-00034762-GRS-2025-00045200	ASC-00034762-GRS-2025-00045201	GRS	Valid	2025-11-06
ASCP	TONGLU HARDWARE TOOLS FACTORY	TE-00036146		TE-00036146		China	ASC-00036146-GRS-2025-00048700	ASC-00036146-GRS-2025-00048700	GRS	Valid	2025-11-04
ASCP	LAIZHOU JIAAOYUAN CRAFTS CO.,LTD.	TE-00040747		TE-00040747		China	ASC-00040747-GRS-2025-00046800	ASC-00040747-GRS-2025-00046800	GRS	Valid	2025-10-20
ASCP	SHANDONG YISHUI HUADE GARMENTS CO.,LTD	TE-00041780		TE-00041780		China	ASC-00041780-GRS-2025-00028100	ASC-00041780-GRS-2025-00028101	GRS	Valid	2025-05-14
ASCP	SHANDONG YISHUI HUADE GARMENTS CO.,LTD	TE-00041780		TE-00041780		China	ASC-00041780-OCS-2025-00028100	ASC-00041780-OCS-2025-00028102	OCS	Valid	2025-10-17
ASCP	NINGBO SHUNSHENG COMMUNICATION APPARATUS CO., LTD.	TE-00042104		TE-00042104		China	ASC-00042104-GRS-2025-00028600	ASC-00042104-GRS-2025-00028601	GRS	Valid	2025-04-03
ASCP	SISHUI ZHENGRUN TOYS CO.,LTD.	TE-00042552		TE-00042552		China	ASC-00042552-GRS-2025-00030800	ASC-00042552-GRS-2025-00030800	GRS	Valid	2025-04-29
ASCP	Cobest (Jiangsu) Garment Co., Ltd	TE-00043039		TE-00043039		China	ASC-00043039-GRS-2025-00039200	ASC-00043039-GRS-2025-00039200	GRS	Valid	2025-07-29
ASCP	Cobest (Jiangsu) Garment Co., Ltd	TE-00043039		TE-00043039		China	ASC-00043039-OCS-2025-00039200	ASC-00043039-OCS-2025-00039200	OCS	Valid	2025-07-29
ASCP	Cobest (Jiangsu) Garment Co., Ltd	TE-00043039		TE-00043039		China	ASC-00043039-RCS-2025-00039200	ASC-00043039-RCS-2025-00039200	RCS	Valid	2025-07-29
ASCP	Qingdao Genghao Textile Technology Co. , Ltd.	TE-00043302		TE-00043302		China	ASC-00043302-GRS-2024-00023000	ASC-00043302-GRS-2024-00023000	GRS	Valid	2024-12-15
ASCP	Qingdao Genghao Textile Technology Co. , Ltd.	TE-00043302		TE-00043302		China	ASC-00043302-OCS-2024-00023000	ASC-00043302-OCS-2024-00023000	OCS	Valid	2024-12-15
ASCP	QINGDAO AORUI ARTS & CRAFTS CO.,LTD	TE-00043772		TE-00043772		China	ASC-00043772-GRS-2025-00033400	ASC-00043772-GRS-2025-00033400	GRS	Valid	2025-06-11
ASCP	Longyouwe Sportswear Co., Ltd	TE-00044014		TE-00044014		China	ASC-00044014-RDS-2025-00037800	ASC-00044014-RDS-2025-00037800	RDS	Valid	2025-07-24
ASCP	Dongguan HongKai Clothing Accessory Limited	TE-00045208		TE-00045208		China	ASC-00045208-RCS-2025-00038300	ASC-00045208-RCS-2025-00038301	RCS	Valid	2025-08-25
ASCP	DALIAN WANLIN IMP.AND EXP.CO.,LTD.	TE-00045742		TE-00045742		China	ASC-00045742-RDS-2025-00041700	ASC-00045742-RDS-2025-00041700	RDS	Valid	2025-09-12
ASCP	JIANGXI GIFT IN INDUSTRIAL TRADE CO., LTD.	TE-00045856		TE-00045856		China	ASC-00045856-GRS-2025-00032300	ASC-00045856-GRS-2025-00032301	GRS	Valid	2025-05-16
