id	supplier	material_name	composition	composition_formated	colour	width	weight	price	minimum	image_url
6960	MALAI BIOMATERIALS DESIGN S.R.O.	Malai ReCe	bacterial cellulose, banana stem fibre, hemp fibre, sisal fibre, natural gums, drying oils, natural biodegradable polymer, flower waste	"[[100,""abaca""]]"						https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6960
6958	MALAI BIOMATERIALS DESIGN S.R.O.	Malai Biocomposite - Light Indigo	bacterial cellulose, banana stem fibre, hemp fibre, sisal fibre, natural gums, drying oils	"[[100,""cellulose""],[0,""abaca""],[0,""hemp fibre""],[0,""sisal""],[0,""bio-based materials""],[0,""natural latex""]]"	light blue	120x80cm	500 /650/800 g/m²	gsm dependant	5 sheets	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6958
6922	RE:DOWN	Re:Down 70/30 500FP EU Standard	70% recycled down 30% recycled feather 500fp	"[[70,""recycled down""],[30,""down""]]"	grey	n/a	n/a	varies	200kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6922
6921	RE:DOWN	Re:Down 80/20 600FP EU Standard	80% recycled down 20% recycled feather 600fp	"[[80,""recycled down""],[20,""down""]]"	grey	n/a	n/a	varies	200kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6921
6920	RE:DOWN	Re:Down 80/20 650FP EU Standard	80% recycled down 10% recycled feather 650fp	"[[80,""recycled down""],[10,""down""]]"	grey	n/a	n/a	varies	200kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6920
6904	DATINI	TAGLIATO/RESCA/MEL	70% recycled wool 25% recycled polyamide 5% recycled acrylic	"[[70,""recycled wool""],[25,""polyamide""],[5,""recycled polyester""]]"	colour card b	150cm total - 148cm cuttable	500g/m²		on request	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6904
6901	DATINI	LONTRA/MEL	57% recycled wool 20% mohair 20% recycled polyamide 3% recycled other fibers	"[[57,""recycled wool""],[20,""mohair""],[20,""polyamide""],[3,""bamboo rayon""]]"	colour card e	150cm total - 148cm cuttable	360g/m²		on request	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6901
6845	RECYCTEX CO., LTD.	RONT 4088	100% recycled nylon	"[[100,""recycled nylon""]]"		"56"""	158g/m²		mcq/moq:1k m/5k m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6845
6809	TMG TEXTILES	TMG - RAPALLO 518 - 03	100% linen	"[[100,""linen""]]"		145cm	120g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6809
6806	TESSITURA MONTI	TESSITURA MONTI SPA - HOLLYWOOD 755.1013/440	100% linen	"[[100,""linen""]]"		150cm	161g/m²		1m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6806
6729	CLEAN BAMBOO	Stretch JerseyBSJKW100328	89% CleanBamboo™ lyocell 11% creora® bio-based spandex	"[[89,""cleanbamboo""],[11,""bio-based materials""]]"	available in avitera reactive dyes for custom colours	155cm	220g/m²		250m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6729
6721	CLEAN BAMBOO	JerseyBLJKW100326	100% CleanBamboo™ lyocell	"[[100,""cleanbamboo""],[0,""lyocell""]]"	available in avitera reactive dyes for custom colours	165cm	200g/m²		250m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6721
6718	CLEAN BAMBOO	Vegan CashmereBLVCN100306	100% CleanBamboo™ lyocell	"[[100,""cleanbamboo""],[0,""lyocell""]]"	available in avitera reactive dyes for custom colours	127cm	250g/m²	US$21.14/m	2500m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6718
6687	TESSUTI DI SONDRIO DIV OF MARZOTTO LAB	TESSUTI DI SONDRIO - WATERS var 1942	65% linen 33% TENCEL™ Lyocell 2% elastane	"[[65,""linen""],[33,""tencel lyocell""],[2,""elastane""]]"		150cm	300g/m²		300m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6687
6686	RUGGERO ROSSI	RUGGERO ROSSI - OMBRETTA	100% linen	"[[100,""linen""]]"		150cm	240g/m²		300m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6686
6685	NORTHERN LINEN	NORTHERN LINEN - Li500 057 YG 6KY A42 D	100% linen	"[[100,""linen""]]"		145cm	185g/m²		500m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6685
6556	MALAI BIOMATERIALS DESIGN S.R.O.	Malai Koodai	bacterial cellulose, banana stem fibre, hemp fibre, sisal fibre, natural gums, drying oils	"[[100,""cellulose""],[0,""abaca""],[0,""hemp fibre""],[0,""sisal""],[0,""bio-based materials""],[0,""natural latex""]]"	any color from our standard color palette	any				https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6556
6488	RUGGERO ROSSI	ORNELLA	100% linen	"[[100,""linen""]]"		150cm	280g/m²		300m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6488
6417	UTENOS TRIKOTAZAS AB	16135	93% LENZING™ ECOVERO™ 7% elastane	"[[93,""lyocell""],[7,""elastane""]]"	black	172cm	250g/m²	estimated €6,70/meter	1000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6417
6416	UTENOS TRIKOTAZAS AB	4183R	39% hemp 31% TENCEL™ Lyocell 30% wool	"[[39,""hemp""],[31,""tencel lyocell""],[30,""wool""]]"	dark red	175cm	340g/m²	estimated €25,50/meter	1000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6416
6415	UTENOS TRIKOTAZAS AB	26188	100% TENCEL™ Lyocell	"[[100,""lyocell""]]"	red	160 cm	170g/m²	estimated €6,10/meter	1000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6415
6396	BOSSA	ORG.GONZALEZ MESOBLUE	66% organic cotton 33% TENCEL™ Lyocell 1% elastane	"[[66,""regenerative cotton""],[33,""tencel lyocell""],[1,""elastane""]]"	mesoblue	169cm	420g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6396
6391	LIBERTY	0631 WHITCOMBE VISCOSE TWILL	100% LENZING™ ECOVERO™	"[[100,""lyocell""]]"		143-140cm	118g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6391
6390	LIBERTY	0628 GRASMERE VISCOSE SATIN	100% LENZING™ ECOVERO™	"[[100,""lyocell""]]"	printed	134-130cm	100g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6390
6381	LEBENSKLEIDUNG	SOM-0011-035n Lyocell Woven - Black	100% TENCEL™ Lyocell	"[[100,""lyocell""]]"	black	150cm	175g/m²	please request price list	0,5m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6381
6380	LEBENSKLEIDUNG	SOM-0011-8014 Lyocell Woven - Creme	100% TENCEL™ Lyocell	"[[100,""lyocell""]]"	creme	150cm	175g/m²	please request price list	0,5m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6380
6379	LEBENSKLEIDUNG	SOM-0011-0388n Lyocell Woven - Navy	100% TENCEL™ Lyocell	"[[100,""lyocell""]]"	navy	150cm	175g/m²	please request price list	0,5m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6379
6369	MODESPITZE GERMANY	342b_69968 | guipure lace trim organic	100% organic cotton kba /GOTS	"[[100,""regenerative cotton""]]"	white | custom colours on request in oekotex class 1 or GOTS	3.5cm		€3,50-5,10/m	1m (usually in stock)	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6369
6368	MODESPITZE GERMANY	342a_69970 | guipure lace trim organic	100% organic cotton kba/GOTS	"[[100,""regenerative cotton""]]"	white | custom colours on request in oekotex class 1 or GOTS	7.5cm		€7,40-10,80/m	1m (usually in stock)	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6368
6367	MODESPITZE GERMANY	363_70034 | allover organic organza embroidery kbA	"fabric: 100% organic peace silk KbT; embroidery 100% organic cotton kba;    GOTS certified"	"[[100,""peace silk""],[100,""regenerative cotton""]]"	offwhite | custom colours available on request in GOTS	100cm		€31,40-51,40/m	1m (usually in stock)	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6367
6307	CLERICI TESSUTO SPA	LA0534IO	70% organic cotton 30% linen	"[[70,""regenerative cotton""],[30,""linen""]]"		161cm	310g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6307
6306	CLERICI TESSUTO SPA	NT510 EVM	100% organic virgin wool	"[[100,""wool""]]"		148cm	302g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6306
6305	CLERICI TESSUTO SPA	NT511 EVM	100% organic virgin wool	"[[100,""wool""]]"		141cm	505g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6305
6218	EREDI MEZZABOTTA MARIA SRL	BYCORE CASTRO	60% recycled cotton 20% bio pu coating 20% olives core powder	"[[60,""recycled cotton""],[20,""polyurethane""],[20,""natural latex""]]"	bianco	140cm	213g/m²	€33,00/mtl	for sample: 30x40cm size for free sample - 1 m with invoice	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6218
6215	BOSSA	ORG.F2F FX EMY GREY CTD BLUE-20	42% TENCEL™ Lyocell 30% cotton 20% organic cotton 6% polyester 2% elastane	"[[42,""tencel lyocell""],[30,""cotton""],[20,""regenerative cotton""],[6,""polyester""],[2,""elastane""]]"	grey	135cm	313g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6215
6197	AMADEU - AMAZONIAN MATERIALS & DESIGN UNITED	LaVeg / 1028870000004	natural rubber over cotton twill	"[[100,""natural rubber""],[0,""cotton""]]"	Orange - Gots certified	150cm	550g/m² to 850g/m²		100m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6197
6176	BOSSA	ORG.FUTURAMA SAVEFERA-2	98% organic cotton 2% recycled elastane	"[[98,""regenerative cotton""],[2,""recycled elastane""]]"	savefera-2	142cm	10.5oz			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6176
6128	KIPAS TEXTILES	NA 140 173 1AC 21WC249	100% organic cotton	"[[100,""regenerative cotton""]]"	3cra42	153cm	360g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6128
6127	KIPAS TEXTILES	NA 141 086 215 21WC222	98% organic cotton 2% elastane	"[[98,""regenerative cotton""],[2,""elastane""]]"	3grg78	145cm	350g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6127
6123	KIPAS TEXTILES	NI 920 347 5AC 21WW396	49% linen 34% recycled polyester 17% LENZING™ ECOVERO™	"[[49,""linen""],[34,""recycled polyester""],[17,""lyocell""]]"	h08503 01	150cm	250g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6123
6116	VICTORIA TEXTILE	K-2617 sand washed	92% TENCEL™ Modal with Eco Soft technology 8% polyester	"[[92,""tencel modal""],[8,""polyester""]]"	burgundy	"55""/56"""	230g/m²	$5.30/mt fob korea	"2,000m (1,000m per colour); 100m at a surcharge"	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6116
6010	EREDI MEZZABOTTA MARIA SRL	SALPA FORTEX	60% tanned shaving and brittle scraps 15% dry rubber 10% water 5% natural-based greases and retanning agents 10% recycled polyamide	"[[60,""leather""],[15,""natural latex""],[10,""water-based polyurethane""],[5,""additives""],[10,""polyamide""]]"	chiara – scura	145cm	513g/m²	€11,50/mtl	for sample: 30x40cm size for free sample - 1 m with invoice	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6010
6009	EREDI MEZZABOTTA MARIA SRL	RECYCLED FOAM CF200 06MM LIGHT BLUE	85% pre-consumer recycled polyurethane 15% polyurethane	"[[85,""bio-based materials""],[15,""polyurethane""]]"		150cm	1301g/m²	€9,20/mtl	for sample: 30x40cm size for free sample - 1 m with invoice	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6009
5998	DEACOR TRUTEX	D025 RIBBED KNIT	100% usda nop certified organic upland cotton	"[[100,""usda nop certified organic upland cotton""]]"	greige (undyed and unfinished). custom pantone colour available. dye house uses GOTS dyed /adheres to the certified GOTS dyeing protocol.	16inches	15.6 oz sq	"$40.00/yd for greige; $55.00/yd for dyed and finished"	200yds	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5998
5997	DEACOR TRUTEX	D024 HONEYCOMB FIRM FANTASIA B KNIT	100% usda nop certified organic upland cotton	"[[100,""usda nop certified organic upland cotton""]]"	greige - undyed and unfinished. custom order to your preferred pantone colour or custom colour match using your customer supplied colour standard.	36inches	9.8 oz sq	"$40.00/yd for greige; $55.00/yd for dyed and finished"	200yds	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5997
5996	DEACOR TRUTEX	D023 HONEYCOMB FIRM FANTASIA A KNIT	100% usda nop certified organic upland cotton	"[[100,""usda nop certified organic upland cotton""]]"	greige (undyed and unfinished). custom pantone colour available. dye house uses GOTS dyed /adheres to the certified GOTS dyeing protocol.	36inches	11.2 0z sq	"$40.00/yd for greige; $55.00/yd for dyed and finished"	200yds	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5996
5945	AMADEU - AMAZONIAN MATERIALS & DESIGN UNITED	LaVeg / 4358700000001	natural rubber over cotton twill	"[[100,""natural rubber""],[0,""cotton""]]"	dark green - GOTS certified dyes	150cm	550g/m² to 850g/m²		100m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5945
5944	AMADEU - AMAZONIAN MATERIALS & DESIGN UNITED	LaVeg / 6787700000007	natural polymer from natural rubber over cotton twill	"[[50,""cotton""],[25,""twill""]]"	vanilla - GOTS certified dyes	150cm	550g/m² to 850g/m²		100m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5944
5934	STOTZ & CO AG	Ventile Eco 430 RCO	100% recycled cotton (300mm hydrostatic head rating)	"[[100,""recycled cotton""]]"	reactive dyes acc. reach	152cm	430g/m²		300m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5934
5933	STOTZ & CO AG	Ventile Eco 300 RCO	100% recycled cotton (500mm hydrostatic head rating)	"[[100,""recycled cotton""]]"	reactive dyes acc. reach	152cm	300g/m²		300m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5933
5917	CLOUDWOOL	Pure Cloudwool® Fleece - (PC-WOOL-3)	100% British lambswool	"[[100,""wood fiber""]]"	undyed	150cm	700g/m²	www.cloudwool.co.uk/prices	Production order (min. 50m)	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5917
5916	ORANGE FIBRE	T026	80% Orange Fiber 20% FSC certified viscose	"[[80,""silk""],[20,""viscose""]]"	natural white. orange fiber fabrics can be printed and dyed like traditional fabrics (natural colors and inkjet printing included).	150-155cm	139g/m²	€31-33/m	1000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5916
5915	ORANGE FIBRE	T017	55% Orange Fiber 45% FSC certified viscose	"[[55,""silk""],[45,""viscose""]]"	natural white. orange fiber fabrics can be printed and dyed like traditional fabrics (natural colors and inkjet printing included).	155-160cm	128g/m²	€27-29/m	1000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5915
5914	ORANGE FIBRE	T015	58% Orange Fiber 42% FSC certified viscose	"[[58,""silk""],[42,""viscose""]]"	natural white. orange fiber fabrics can be printed and dyed like traditional fabrics (natural colors and inkjet printing included).	155-160cm	141g/m²	€29-31/m	1000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5914
5908	CLOUDWOOL	Black Sheep Cloudwool® Feather - (BS-WOOL-1)	100% british virgin wool	"[[100,""wool""]]"	undyed	150cm	342g/m²	www.cloudwool.co.uk/prices	Production order (min. 500m)	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5908
5907	CLOUDWOOL	Pure Cloudwool® Feather - (PC-WOOL-1)	100% British lambswool	"[[100,""wood fiber""]]"	undyed	150cm	338g/m²	www.cloudwool.co.uk/prices	Production order (min. 500m)	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5907
5897	ORGANIC TEXTILE COMPANY	Linen 180gsm White	100% linen	"[[100,""linen""]]"	white	140cm	180g/m²	from £11.95/m (wholesale) - £14.13/m (retail ex. vat)	no retail minimum, wholesale minimum 50m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5897
5896	ORGANIC TEXTILE COMPANY	Crossweave - Purple	100% organic cotton	"[[100,""regenerative cotton""]]"	purple	120cm	130g/m²	from £7.95/m (wholesale) - £11.63/m (retail ex. vat)	no retail minimum, wholesale minimum 50m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5896
5895	ORGANIC TEXTILE COMPANY	Crossweave - Daffodil	100% organic cotton	"[[100,""regenerative cotton""]]"	yellow	120cm	130g/m²	from £7.95/m (wholesale) - £11.63/m (retail ex. vat)	no retail minimum, wholesale minimum 50m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5895
5796	COCCCON CRAFTS & LOOM Pvt. Ltd.	Silk Satin Quilled(SQ04)	100% organic peace silk + side waste filling		as per requirement/ GOTS certified low impact	114cm	150g/m²	39	25m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5796
5795	COCCCON CRAFTS & LOOM Pvt. Ltd.	Silk Satin Quilled (SQ03)	100% organic peace silk + side waste filling		as per requirement/ GOTS certified low impact	114cm	150g/m²	39	25m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5795
5794	COCCCON CRAFTS & LOOM Pvt. Ltd.	Silk Satin Quilled (SQ02)	100% organic peace silk satin layers + semal (kopak) filling	"[[100,""peace silk""],[0.5,""silk""],[0.5,""lyocell""],[0.1,""semal""],[0.1,""kapok""],[0.1,""down""]]"	as per requirement/ GOTS certified low impact	114cm	750g/m²	75	25m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5794
5765	RECYC LEATHER	Smooth Ivory / 04IV16A27527	60% pre-consumer leather fiber 30% natural rubber 10% waterborne pu coating	"[[60,""recycled cotton""],[30,""natural rubber""],[10,""polyurethane""]]"	ivory	135cm (width) x 110cm	900g/m²	32	450m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5765
5763	RECYC LEATHER	Allura Green / 01GR15C20000	60% pre-consumer leather fiber 30% natural rubber 10% waterborne pu coating	"[[60,""recycled cotton""],[30,""natural rubber""],[10,""polyurethane""]]"	green	135cm (width) x 110cm	900g/m²	32	450m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5763
5722	VEGAN TEXTILE & INNOVATIONS	VTHLL-01	50% hemp 30% TENCEL™ Lyocell 20% linen	"[[50,""hemp""],[30,""tencel lyocell""],[20,""linen""]]"		"58"""	140-145g/m²	€12.6-19.69		https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5722
5721	VEGAN TEXTILE & INNOVATIONS	VTHL-02	60% hemp 40% TENCEL™ Lyocell	"[[60,""hemp""],[40,""tencel lyocell""]]"		"58"""	135g/m²	€8.4-13.12		https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5721
5684	TOYOSHIMA & CO.,LTD.	1052	100% cupro	"[[100,""cupro""]]"		148cm	135g/m²	10,3	2400m/order, 400m/color	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5684
5680	TOYOSHIMA & CO.,LTD.	TD6000-4	100% organic cotton	"[[100,""regenerative cotton""]]"		140cm/55inch	177g/m²	6,2	1000m/color	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5680
5679	TOYOSHIMA & CO.,LTD.	BAO80120D	100% TENCEL™ Lyocell	"[[100,""lyocell""]]"		140cm/55inch	107g/m²	8	500m/color	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5679
5489	VEGAN TEXTILE & INNOVATIONS	VTHLL-06	50% hemp 30% TENCEL™ Lyocell 20% linen	"[[50,""hemp""],[30,""tencel lyocell""],[20,""linen""]]"		"58"""	140-145g/m²	€12.6-19.69		https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5489
5459	COTONEA	KWL14224Y60J50-M162-016-VS	100% organic cotton	"[[100,""regenerative cotton""]]"	pure stripes (with coloured grown cotton)	162cm	120g/m²	€9,-/m (rolls), €12,-/m (10m pieces)	10m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5459
5458	COTONEA	KWK33322Y28O20-M162-I733-VHPS	100% organic cotton	"[[100,""regenerative cotton""]]"	dark blue	162cm	240g/m²	€13,5/m (rolls), €16,50/m (10m pieces)	10m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5458
5457	COTONEA	KSI14-M040-K099-VW	95% organic cotton 5% elastane	"[[95,""regenerative cotton""],[5,""elastane""]]"		40cm tube	265g/m²	€9,20/m (rolls), €12,20/m (10m pieces)	10m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5457
5453	AMANDINE CHA	NATTE-ECLIPSE 45680-éclipse	100% organic cotton	"[[100,""regenerative cotton""]]"		155cm	290g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5453
5343	ZEYNAR MENSUCAT SAN. TIC.A.Ş	DHRD20210195	100% organic cotton	"[[100,""regenerative cotton""]]"	rl8020	140cm	375-380g/m²	pls ask for price £6,25/m	1000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5343
5342	ZEYNAR MENSUCAT SAN. TIC.A.Ş	DHRD20220085	96% organic cotton 4% post consumer recycled elastane	"[[96,""regenerative cotton""],[4,""recycled nylon""]]"	rm5116	185cm	185g/m²	pls ask for price £5,35/m	2000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5342
5340	ZEYNAR MENSUCAT SAN. TIC.A.Ş	DHRD20210105	95% TENCEL™ Lyocell 5% elastane	"[[95,""tencel lyocell""],[5,""elastane""]]"	rl4048	175cm	270g/m²	pls ask for price £5,70/m	500m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5340
5322	FRATELLI PIACENZA SPA	GUERNICA.21/1	100% wool	"[[100,""wool""]]"		150cm	690g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5322
5321	FRATELLI PIACENZA SPA	DAIKI.20/3	100% wool	"[[100,""wool""]]"		150cm	340g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5321
5320	FRATELLI PIACENZA SPA	20571/27/4	100% wool	"[[100,""wool""]]"		150cm	240g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5320
5219	GULIPEK	G224009 ENZO	100% LENZING™ ECOVERO™	"[[100,""lyocell""]]"		138cm	192g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5219
5218	GULIPEK	19*5522 JENICE	100% TENCEL™ Lyocell	"[[100,""lyocell""]]"		154cm	336g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5218
5217	GULIPEK	17*4048 SOMER	79% TENCEL™ Lyocell 21% linen	"[[79,""tencel lyocell""],[21,""linen""]]"		154cm	234g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5217
5156	ORTA	ZERO VIRGIN CO (article no 4404A)	70% TENCEL™ Lyocell 30% pre-consumer recycled cotton	"[[70,""tencel lyocell""],[30,""pre-consumer recycled cotton""]]"	cobalt (this is a dark sulphur top indigo color)	147cm min cuttable	465g/m² after wash	TBC	3000m (bulk order)	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5156
5155	ORTA	FLEXILE (article no 4163A)	67% cotton 13% pre-consumer recycled cotton 11% TENCEL™ Lyocell 4% Ecomade Lycra T400 4% Lycra elastane	"[[67,""cotton""],[13,""pre-consumer recycled cotton""],[11,""tencel lyocell""],[4,""lycra""],[4,""spandex""]]"	if alpha (this is a reddish cast medium pure indigo color dyed with less water process)	107cm min cuttable	435g/m² after wash	TBC	3000m (bulk order)	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/5155
4941	MARITAS DENIM	DP 7125 H60 CAROL NATURAL	50% organic cotton 50% recycled cotton	"[[50,""regenerative cotton""],[50,""recycled cotton""]]"	natural	161cm	373g/m² (washed)	€3,50-4,00	1000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/4941
4940	MARITAS DENIM	DP-1201 H60 ANZER PURE	80% organic cotton 20% linen	"[[80,""regenerative cotton""],[20,""linen""]]"	pure indigo	170cm	200g/m² (washed)	€4,50-5,00	1000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/4940
4939	MARITAS DENIM	DP 5465 H88 FLAMINGO HIDDEN BLUE	99% organic cotton 1% elastane	"[[99,""regenerative cotton""],[1,""elastane""]]"	hidden blue	160cm	380g/m² (washed)	€4,00-4,50	1000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/4939
4936	MANTERO	WB238A	40% upcycled silk 35% wool 25% recycled polyester	"[[40,""silk""],[35,""wool""],[25,""recycled polyester""]]"	design and colour can be customised	145cm	250g/m²	45	35m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/4936
4890	MANTERO	WB236F	36% cotton 35% recycled polyester 24% upcycled silk 5% metal	"[[36,""cotton""],[35,""recycled polyester""],[24,""silk""],[5,""zamak metal""]]"	design and color can be customised	145cm	200g/m²	31	35m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/4890
4889	MANTERO	WB236E	34% cotton 33% upcycled silk 33% recycled polyester	"[[34,""cotton""],[33,""silk""],[33,""recycled polyester""]]"	design and color can be customised	145cm	250g/m²	35	35m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/4889
4686	GLOBAL GREEN	2193-1.09001	100% organic cotton	"[[100,""regenerative cotton""]]"	no dyes, no water	145cm	119g/m²	€19 to €30 depending on the quantities	25m if in stock, 100m if ordered	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/4686
4684	GLOBAL GREEN	2163-1.09001	100% organic cotton	"[[100,""regenerative cotton""]]"	no dyes, no water, cotton grows in a natural earth tone	138cm	128g/m²	€10 to €15 depending on the quantities	25m if in stock, 100m if ordered	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/4684
4683	GLOBAL GREEN	2091-1.09001	100% organic cotton	"[[100,""regenerative cotton""]]"	no dyes, no water, cotton grows in a natural earth tone	143cm	121g/m²	€7 to €11 depending on the quantities	25m if in stock, 100m if ordered	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/4683
4675	TANANA	CD-MS-SD_Brown	ceranchia dense wild silk, polyester thread	"[[0,""silk""],[100,""dense""],[0,""silk""],[0,""silk""],[0,""polyester""],[0,""cotton""]]"	brown - the plant dye is a bark of nanto.	100cm (available in custom widths)	250g/m²	$72/m²	10m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/4675
4673	TANANA	CD-MS-SD_Military Green	ceranchia dense wild silk, polyester thread	"[[0,""silk""],[100,""dense""],[0,""silk""],[0,""silk""],[0,""polyester""],[0,""cotton""]]"	military green- the plant dye is a flower called fleur mena	100cm (available in custom widths)	250g/m²	$72/m²	10m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/4673
4672	TANANA	BX-MS-SD_Military Green	bombyx wild silk, polyester thread	"[[100,""wild silk""],[0,""polyester""]]"	military green- the plant dye is a flower called fleur mena	100cm (available in custom widths)	240g/m²	$74/m²	10m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/4672
4517	STEIFF SCHULTE GMBH	20536-5442	64% mohair 36% organic cotton	"[[64,""mohair""],[36,""regenerative cotton""]]"	5442	140cm	760g/m²	€70,70/m	30m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/4517
4516	STEIFF SCHULTE GMBH	20100-6929	79% mohair 21% organic cotton	"[[79,""mohair""],[21,""regenerative cotton""]]"	6929	140cm	800g/m²	€96,30/m	30m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/4516
