id	supplier	material_name	composition	composition_formated	colour	width	weight	price	minimum	image_url
7581	RDD	RDD1192	60% bamboo lyocell 20% SeaCell™️ cellulosic fibre 20% himalayan nettle	"[[60,""bamboo lyocell""],[20,""cellulose""],[20,""nettles""]]"	black	1.8m	300g/m²	€36.65/m	300m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7581
7580	RDD	RDD1381-S	85% organic cotton 15% himalayan nettle	"[[85,""regenerative cotton""],[15,""nettles""]]"	natural	1.40m	135g/m²	€18.75/m	300m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7580
7578	GREEN WHISPER	GWTXY30KNSWP	60% banana tree fiber 40% organic cotton	"[[60,""abaca""],[40,""regenerative cotton""]]"	natural/GOTS certified	162cm	330g/m²	€32/m	300m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7578
7577	GREEN WHISPER	GWTXY30KNSWO	60% banana tree fiber 40% organic cotton	"[[60,""abaca""],[40,""regenerative cotton""]]"	natural/GOTS certified	162cm	330g/m²	€32/m	300m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7577
7576	GREEN WHISPER	GWTXY30KNSWGN	60% banana tree fiber 40% organic cotton	"[[60,""abaca""],[40,""regenerative cotton""]]"	natural/GOTS certified	162cm	330g/m²	€32/m	300m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7576
7571	MAEKO TESSUTI	MURANO REPS	70% himalayan nettle 30% TENCEL™ Lyocell	"[[70,""nettles""],[30,""tencel lyocell""]]"	natural	167cm	370g/m²	from €33.20/m to €43.16/m	1m rtd and 15m dyed	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7571
7570	MAEKO TESSUTI	ADDA TELA	40% merino wool 40% himalayan nettle 20% organic cotton	"[[40,""merino wool""],[40,""nettles""],[20,""regenerative cotton""]]"	blue	140cm	300g/m²	from €32.20/m to €39.90/m (dyed)	1m rtd and 15m dyed	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7570
7569	MAEKO TESSUTI	MOZART 3OH REPS	50% GOTS certifed hemp 40% himalayan nettle 10% TENCEL™ Lyocell	"[[50,""hemp""],[40,""nettles""],[10,""tencel lyocell""]]"	natural	156cm	196g/m²	from €23.30/m to €30.29/m	1m rtd and 15m dyed	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7569
7567	LS MILLS LIMITED	300 TC 60 x 60 : 190 x 106	100% TENCEL™ Modal with Eco Soft technology		sateen arctic wolf	"113"""			10000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7567
7566	LS MILLS LIMITED	200 TC 60T x 44LEA : 144 x 52/1	68% TENCEL™ Lyocell 32% linen	"[[68,""tencel lyocell""],[32,""linen""]]"	percale white	"113"""			10000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7566
7565	LS MILLS LIMITED	600 TC 80 x 100 : 205 x 98/4	100% TENCEL™ Lyocell	"[[100,""lyocell""]]"	sateen lt blue	"113"""			10000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7565
7552	ZORLUTEKS TEKSTİL TİC. VE SAN. A.Ş.	TMP 2514-01	60% TENCEL™ Lyocell 20% organic cotton 20% UMORFIL® viscose	"[[60,""tencel lyocell""],[20,""regenerative cotton""],[20,""viscose""]]"	white	246cm	120gr/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7552
7551	HEIQ AEONIQ™	Art. Aechit/2 - Carpini Flow S/S25 - black	56% HeiQ AeoniQ™ 44% cotton	"[[56,""polyester""],[44,""cotton""]]"	black	146cm	219g/m²		300m/colour	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7551
7550	HEIQ AEONIQ™	Art. Venom/2 - Carpini Flow S/S25 - caramel	52% HeiQ AeoniQ™ 48% linen	"[[52,""polyester""],[48,""linen""]]"	caramel	147cm	231g/m²		300m/colour	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7550
7549	HEIQ AEONIQ™	Art. Venom/2 - Carpini Flow S/S25 - black	52% HeiQ AeoniQ™ 48% linen	"[[52,""polyester""],[48,""linen""]]"	black	147cm	231g/m²		300m/colour	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7549
7532	ZORLUTEKS TEKSTİL TİC. VE SAN. A.Ş.	TMP2525-03	52% organic cotton 48% TENCEL™ Lyocell	"[[52,""regenerative cotton""],[48,""tencel lyocell""]]"	white	240cm	112g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7532
7531	ZORLUTEKS TEKSTİL TİC. VE SAN. A.Ş.	TMP2409-01	53% organic cotton 47% TENCEL™ Lyocell	"[[53,""regenerative cotton""],[47,""tencel lyocell""]]"	blue	220cm	126g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7531
7519	TEARFIL TEXTILE YARNS	TFIL 6248 BC - Ne 40/1 (Ecru Yarn)	85% GOTS organic combed cotton 15% himalayan nettle	"[[85,""gots organic combed cotton""],[15,""nettles""]]"	blue	162cm	123g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7519
7518	TEARFIL TEXTILE YARNS	TFIL 6362 MT - Ne 14/1 (Ecru Yarn)	50% LENZING™ ECOVERO™ 25% hemp 25% himalayan nettle	"[[50,""lyocell""],[25,""hemp""],[25,""nettles""]]"	green	130cm	281g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7518
7515	SPIN AKER	Linda yarn	40% alpaca 24% TENCEL™ Lyocell 20% polyamide 16% himalayan nettle, nm. 4000	"[[40,""alpaca""],[24,""tencel lyocell""],[20,""polyamide""],[16,""nettles""]]"	castoro 384					https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7515
