Facility	Product_Category_Desc	Product_Category_Code	Product_Detail_Desc	Product_Detail_Code	Raw_Material_Description	Raw_Material_Code	Raw_Material_Percentage
SUZHOU XINCHEN CHEMICAL FIBER LTD.	Processed post-consumer materials	PC0035	Chips (pellets)	PD0085	Polyester -  Recycled Post-Consumer	RM0189	100.00
Suzhou Xingyue Textile Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	12
Suzhou Xinchengquan Textile Co., Ltd.	Greige fabrics	PC0026	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	5.00
Suzhou Xindy Textile Technology Co., Ltd. 苏州辛迪纺织科技有限公司	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	5.0
Suzhou Xinerte Textile Co., Ltd. 苏州新而特纺织有限公司	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	2.0
G V KNITS PVT LTD	Babies' apparel	PC0003	Shirts, blouses	PD0005	Cotton - Organic	RM0104	100%
Suzhou Xinerte Textile Co., Ltd. 苏州新而特纺织有限公司	Greige yarns	PC0030	Filament	PD0069	Elastane (spandex) - Non Certified	RM0160	16.0
Suzhou Xinerte Textile Co., Ltd. 苏州新而特纺织有限公司	Printed fabrics	PC0039	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Xing’anling Textile Co., Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Polyester -  Recycled Post-Consumer	RM0189	100
FX ORME KUMAS IPLIK SANAYI VE DIS TICARET LIMITED SIRKETI	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	50.0
Suzhou Xingjia Textile Co., Ltd	Dyed yarns	PC0029	Carded yarns	PD0067	Acrylic - Non Certified	RM0156	20
Suzhou Xingjia Textile Co., Ltd.	Dyed yarns	PC0029	Carded yarns	PD0067	Acrylic - Non Certified	RM0156	20
Suzhou Xingjingze Fiber Technology Co., Ltd.	Greige yarns	PC0030	Carded yarns	PD0067	Cotton -  Recycled Post-Consumer	RM0107	15.00
Suzhou Xingjingze Fiber Technology Co., Ltd.	Undyed yarns	PC0031	Carded yarns	PD0067	Polyester -  Recycled Post-Consumer	RM0189	100.00
Suzhou Xingjingze Fiber Technology Co., Ltd. 苏州市星京泽纤维科技有限公司	Greige yarns	PC0030	Carded yarns	PD0067	Cotton -  Recycled Post-Consumer	RM0107	15.0
Suzhou Xingjingze Fiber Technology Co., Ltd. 苏州市星京泽纤维科技有限公司	Undyed fibers	PC0034	Staple fibers	PD0079	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Xingjingze Fiber Technology Co.,Ltd.	Greige yarns	PC0030	Open-end yarns	PD0066	Polyester -  Recycled Post-Consumer	RM0189	100.00
G M Fabrics Pvt. Ltd.	Printed fabrics	PC0039	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	1%-50%
Suzhou Xingjingze Fiber Technology Co.,Ltd.	Undyed yarns	PC0031	Carded yarns	PD0067	Polyester -  Recycled Post-Consumer	RM0189	100.00
SUZHOU XINGLINFA TEXTILE CO., LTD	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Xinrongjia Textile Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Xinglinfa Textile Co., Ltd.	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100.00
Suzhou Xinglu Import and Export Co.,Ltd	Dyed yarns	PC0029	Fancy yarns	PD0072	Alpaca -  Responsible	RM0007	100
Suzhou Xinglu Import and Export Co.,Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.00
Suzhou Xingmingda Textile Co., Ltd	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100
G M Fabrics Pvt. Ltd.	Home textiles	PC0010	Bed linen, bed sheets	PD0015	Cotton - Non Certified	RM0102	1%-50%
G M Fabrics Pvt. Ltd.	Greige fabrics	PC0026	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	1%-50%
Suzhou Xingran Textile Technology Co., LTD	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	0
SUZHOU XINGTANG TEXTILE CO., LTD	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
SUZHOU XINGYIJIA NEW MATERIAL SCIENCE & TECHNOLOGY CO., LTD.	Functional accessories	PC0017	Other	PD0100	Other -  Recycled Post-Consumer	RM0267	100
G&A LAVORAZIONE FILATI SRL	Greige yarns	PC0030	Fancy yarns	PD0072	Acrylic -  Recycled Pre-Consumer	RM0158	28.00
G&G Yarn Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	60
G P Textiles	Men's apparel	PC0001	T-shirts, singlets	PD0007	Cotton - Organic	RM0104	100
Suzhou Xingfengqiang Textile Technology Co., Ltd. 苏州市兴丰强纺织科技有限公司	Printed fabrics	PC0039	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Xili Textile Co.,Ltd	Dyed fabrics	PC0025	Woven fabrics	PD0059	Cotton - Non Certified	RM0102	62
Suzhou Xin Renda Textiles Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	12.00
Suzhou Xin Renda Textiles Co., Ltd. 苏州新任达纺织品有限公司	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100.0
SUZHOU XINCHI TEXTILE TECHNOLOGY CO., LTD.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	0
Suzhou Xin Renda Textiles Co.,Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	12.00
SUZHOU XINDAHUI SPINNING TEXTILE TECHNOLOGY., LTD	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Xin Wire Rings Textile Technology Co., Ltd.	Greige yarns	PC0030	Carded yarns	PD0067	Polyester -  Recycled Post-Consumer	RM0189	65
G.E. TEXTILE (PRIVATE) LIMITED	Unisex apparel	PC0005	Pants, trousers	PD0003	Cotton - Non Certified	RM0102	48
G.E. TEXTILE (PRIVATE) LIMITED	Men's apparel	PC0001	T-shirts, singlets	PD0007	Cotton -  Recycled Pre-Consumer	RM0106	30.00
Suzhou Xinfengqiu Textile Finishing Co., Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Acrylic - Non Certified	RM0156	2.0
Suzhou Xingfengqiang Textile Technology Co., Ltd. 苏州市兴丰强纺织科技有限公司	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Xingfengqiang Textile Technology Co., Ltd. 苏州市兴丰强纺织科技有限公司	Fabrics	PC0028	Special fabrics	PD0063	Other - Non Certified	RM0262	10.0
SUZHOU XINCHEN NEW MATERIAL TECHNOLOGYCO.,LTD.	Dyed yarns	PC0029	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	97.00
Suzhou Xindy Textile Technology Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	5.0
Suzhou Xinchengquan Textile Co., Ltd. 苏州市鑫城权纺织有限公司	Greige fabrics	PC0026	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	10.0
G.E. TEXTILE (PRIVATE) LIMITED	Greige fabrics	PC0026	Knitted fabrics	PD0058	Cotton -  Recycled Pre-Consumer	RM0106	33
Suzhou Xingke Advanced Materials Co., Ltd	Greige yarns	PC0030	Core-spun yarns	PD0071	Elastane (spandex) - Non Certified	RM0160	10
Suzhou Xingke Advanced Materials Co., Ltd.	Greige yarns	PC0030	Core-spun yarns	PD0071	Elastane (spandex) - Non Certified	RM0160	10
"SUZHOU XINCHI TEXTILE
TECHNOLOGY CO., LTD."	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100
SUZHOU XINDAHUI SPINNING TEXTILE TECHNOLOGY LTD	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Xingshi Textile Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Xinguang Textile Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
G.E. TEXTILE (PRIVATE) LIMITED	Children's apparel	PC0004	Dresses, skirts	PD0011	Cotton - Non Certified	RM0102	65
G. & A. Lavorazione Filati srl	Dyed yarns	PC0029	Fancy yarns	PD0072	Acrylic - Non Certified	RM0156	7.0
G P Textiles	Women's apparel	PC0002	Sweaters, pullovers, cardigans	PD0004	Cotton - Organic	RM0104	50
Fujian Province Fuzhou City Tongyuan Dyeing& Weaving Co., Ltd.	Greige fabrics	PC0026	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Youjun Textile Co., Ltd.	Greige fabrics	PC0026	Knitted fabrics	PD0058	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
QINGDAO BALME FASHION TRADING CO., LTD	Worn accessories	PC0012	Other	PD0100	Copper -  Recycledpre-consumer	RM0294	100
TAEKWANG	Greige yarns	PC0030	Carded yarns	PD0067	Acetate - Non Certified	RM0218	40.00
TAEGIL NP SIZING	Greige yarns	PC0030	Filament	PD0069	Polyamide (nylon) -  Recycled Post-Consumer	RM0185	100.0
TAEHWA F AND T CO.,LTD.	Unisex apparel	PC0005	Overcoats, jackets, vests	PD0001	Polyester -  Recycled Post-Consumer	RM0189	100.0
Foshan Sanshui Chicley Textile Dyeing & Printing Co.,Ltd	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton -  Recycled Pre-Consumer	RM0106	94.0
Fox Tekstil - Mehmet Beyazkaya	Children's apparel	PC0004	Pants, trousers	PD0003	Cotton -  Recycled Pre-Consumer	RM0106	5.0
Fox Tekstil - Mehmet Beyazkaya	Babies' apparel	PC0003	Babies' clothing	PD0013	Cotton -  Recycled Pre-Consumer	RM0106	50.0
FOWLER - BARRACA TRELEW	Unprocessed non-reclaimed fibers/materials	PC0045	Greasy wool	PD0089	Wool -  Responsible	RM0083	100
Foundation Garments (Pvt) Ltd - Narammala	Women's apparel	PC0002	Activewear, sportswear	PD0008	Cotton - Non Certified	RM0102	80.0
Foundation Garments (Pvt) Ltd - Narammala	Men's apparel	PC0001	Activewear, sportswear	PD0008	Cotton - Non Certified	RM0102	80.0
TAEHWA VINA COMPANY LIMITED	Unisex apparel	PC0005	Overcoats, jackets, vests	PD0001	Polyester -  Recycled Post-Consumer	RM0189	100.0
Foundation Garments (Pvt) Ltd - Narammala	Children's apparel	PC0004	Undergarment, sleepwear, robes	PD0006	Cotton - Non Certified	RM0102	50.0
FOSHAN YUSHENGQI DYEING & FINISHING CO.,LTD	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Foshan Yingjia Textile Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	0
Foshan Yaotaiyuan Plasttc Industry Co., Ltd	Toys	PC0024	Hard toys	PD0057	Acrylonitrile Butadiene Styrene (ABS)  -  Recycled Post-Consumer	RM0271	100
Foshan Yaotaiyuan Plastic Industry Co., Ltd	Hard goods	PC0022	Other	PD0100	Acrylonitrile Butadiene Styrene (ABS)  -  Recycled Post-Consumer	RM0271	100
Foshan Wanyuhong Textile Printing And Dyeing Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	15.0
Foshan Shunde Xibu Garment Co., Ltd.	Women's denim apparel	PC0007	Dresses, skirts	PD0011	Cotton - Non Certified	RM0102	68
Taehyung Industry CO., LTD	Industrial, technical	PC0019	Other	PD0100	Thermoplastic Elastomer (TPE) -  Recycled Post-Consumer	RM0287	100.0
Taejin Chemical	Processed pre-consumer materials	PC0041	Chips (pellets)	PD0085	Polypropylene  -  Recycled Pre-Consumer	RM0204	100.0
Taejin Chemical Co.,Ltd.	Packaging	PC0023	Packing sacks, bags	PD0055	Polyethylene -  Recycled Post-Consumer	RM0193	96.0
TAEJUNG TEXTILE	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100.0
Foshan Shunde Xibu Garment Co., Ltd.	Women's apparel	PC0002	Dresses, skirts	PD0011	Cotton - Non Certified	RM0102	68.00
taejuntex co.,ltd	Greige fabrics	PC0026	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100.0
TAEKWANG	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.00
TAEKWANG	Dyed fibers	PC0033	Staple fibers	PD0079	Polyester -  Recycled Post-Consumer	RM0189	20.0
Foshan Shunde Xibu Garment Co., Ltd.	Men's denim apparel	PC0006	Overcoats, jackets, vests	PD0001	Cotton - Non Certified	RM0102	68
Foshan Shunde Xibu Garment Co., Ltd.	Men's apparel	PC0001	Overcoats, jackets, vests	PD0001	Cotton - Non Certified	RM0102	69.00
TAEKWANG	Dyed yarns	PC0029	Filament	PD0069	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100.0
TAEGIL NP SIZING	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	5.00
TAEGA Co., Ltd	Packaging	PC0023	Packing sacks, bags	PD0055	Polyethylene terephthalate (PET) -  Recycled Post-Consumer	RM0197	100%
TAEDOO LEATHER CO.,LTD	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100.0
TAE KYUNG TEX	Greige yarns	PC0030	Filament	PD0069	Polyamide (nylon) -  Recycled Post-Consumer	RM0185	100.0
Taddei Srl	Dyed yarns	PC0029	Carded yarns	PD0067	Polyester -  Recycled Post-Consumer	RM0189	100.00
Taddei Srl	Fabrics	PC0028	Special fabrics	PD0063	Cotton -  Recycled Pre-Consumer	RM0106	100.00
Taddei Srl	Greige yarns	PC0030	Open-end yarns	PD0066	Cotton -  Recycled Pre-Consumer	RM0106	100.00
Tae An Textile	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.00
Fujian Honggang Textile Technology Co.,  Ltd	Fabrics	PC0028	Special fabrics	PD0063	Cotton -  Recycled Pre-Consumer	RM0106	45
TAE HEUNG SANGSA CO,. LTD.	Greige yarns	PC0030	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	100.00
TAE KWANG COMMERCIAL CO.,LTD	Fabrics	PC0028	Bonded leather	PD0065	Polyester -  Recycled Post-Consumer	RM0189	12.0
Tae Kwang Textile Co.,Ltd.	Greige fabrics	PC0026	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	10.0
Tae Kwang Textile Co.,Ltd.	Greige yarns	PC0030	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	100.0
TAE KYUNG TEX	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100.0
TAE KYUNG TEX	Dyed yarns	PC0029	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	98.0
TAE KYUNG TEX	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Post-Consumer	RM0185	100.0
TAE SUNG POLYURETHANE CO.,LTD	Fabrics	PC0028	Special fabrics	PD0063	Other - Non Certified	RM0262	2.00
TAECHANG VINYL IND CO., LTD	Packaging	PC0023	Other	PD0100	Polyethylene -  Recycled Pre-Consumer	RM0192	100%
Tae Sung Textile	Dyed yarns	PC0029	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	100.0
Tae Sung Textile	Greige yarns	PC0030	Carded yarns	PD0067	Polyester -  Recycled Post-Consumer	RM0189	100.0
Tae Young Chemical	Processed post-consumer materials	PC0035	Chips (pellets)	PD0085	Polyethylene -  Recycled Post-Consumer	RM0193	100%
Fujian Hengkai Print Technology Co.,Ltd.	Greige fabrics	PC0026	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	20.00
Tae Young Textile	Dyed fabrics	PC0025	Woven fabrics	PD0059	Cotton - Non Certified	RM0102	60.0
Tae young textile co., LTD.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100.0
TAEHWACORPORATION	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.0
TAEHWACORPORATION	Undyed yarns	PC0031	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	73.00
TAEBAEK CO.,LTD.	Undyed fibers	PC0034	Staple fibers	PD0079	Polyester -  Recycled Post-Consumer	RM0189	100.0
TAEBANG TEXTILE	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.0
Taebong Co., Ltd	Fabrics	PC0028	Non-woven fabrics	PD0062	Cotton -  Recycled Pre-Consumer	RM0106	100.0
Taebong Co., Ltd	Undyed fibers	PC0034	Raw fibers	PD0075	Cotton - Organic	RM0104	100.0
FOSHAN SHUNDE TIANZHIRUN KNITTING CO., LTD.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton - Organic	RM0104	100
TAEKWANG	Processed pre-consumer materials	PC0041	Chips (pellets)	PD0085	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100.0
TACCHIFICIO MONTI S.R.L	Footwear	PC0016	Other	PD0100	Acrylonitrile Butadiene Styrene (ABS)  -  Recycled Pre-Consumer	RM0270	20
TAEKWANG	Undyed yarns	PC0031	Carded yarns	PD0067	Acetate - Non Certified	RM0218	40.00
TAESEONG INDUSTRY CO.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.0
TAESUNG ECOMPS	Processed post-consumer materials	PC0035	Chips (pellets)	PD0085	Polyethylene -  Recycled Post-Consumer	RM0193	50%
TAESUNG TEXTILE CO., LTD.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Other - Non Certified	RM0262	1.0
TAESUNG TEXTILE CO., LTD.	Greige yarns	PC0030	Filament	PD0069	Elastane (spandex) - Non Certified	RM0160	8.0
Taewon H&T Co.,ltd	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	6.00
Taewon Tex Vina CO .,LTD	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100.00
Foshan Shunde District Jinfeng Bleacheing and Dyeing Co.,Ltd.ShunDe Branch.	Dyed yarns	PC0029	Carded yarns	PD0067	Acrylic -  Recycled Post-Consumer	RM0159	50-99
Foshan Shenghao Knitting Co., Ltd.佛山市晟浩针织有限公司	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100.0
Foshan Seazon Textile and Garment Co.,Ltd.	Dyed fabrics	PC0025	Denim fabrics	PD0061	Cotton -  Recycled Post-Consumer	RM0107	14.0
Foshan Seazon Textile and Garment Co., Ltd. 佛山市致兴纺织服装有限公司	Dyed yarns	PC0029	Carded yarns	PD0067	Cotton - Organic	RM0104	100.0
Foshan Seazon Textile and Garment Co., Ltd. 佛山市致兴纺织服装有限公司	Dyed fabrics	PC0025	Denim fabrics	PD0061	Acrylic - Non Certified	RM0156	21.0
Foshan Seazon Textile and Garment Co., Ltd.	Dyed yarns	PC0029	Core-spun yarns	PD0071	Cotton - Non Certified	RM0102	0
TAEWOONG GLOBAL Co.,Ltd	Greige yarns	PC0030	Filament	PD0069	Polyamide (nylon) -  Recycled Post-Consumer	RM0185	50.0
TAEWOONGTEX	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100.00
TAEYEONG POLYMER CORP.	Processed pre-consumer materials	PC0041	Chips (pellets)	PD0085	Polyethylene -  Recycled Pre-Consumer	RM0192	100%
TAEYOUNG ENVIRONMENTAL DEVELOPMENT CO., LTD	Processed post-consumer materials	PC0035	Popcorns	PD0087	Polyethylene terephthalate (PET) -  Recycled Post-Consumer	RM0197	100.0
Tafeks Tekstil San. ve Dış Tic. A.Ş.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton - Organic	RM0104	100.0
Foshan Seazon Textile and Garment Co., Ltd.	Dyed fabrics	PC0025	Denim fabrics	PD0061	Cotton -  Recycled Post-Consumer	RM0107	0
Tafeks Tekstil San. ve Dış Tic. A.Ş.	Dyed yarns	PC0029	Filament	PD0069	Elastane (spandex) - Non Certified	RM0160	6.0
Tafeks Tekstil San. ve Dış Tic. A.Ş.	Fabrics	PC0028	Special fabrics	PD0063	Elastane (spandex) - Non Certified	RM0160	5.0
Tafeks Tekstil San. ve Dış Tic. A.Ş.	Greige fabrics	PC0026	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	10.0
Tafeks Tekstil San. ve Dış Tic. A.Ş.	Greige yarns	PC0030	Filament	PD0069	Elastane (spandex) - Non Certified	RM0160	6.0
Tafeks Tekstil San. ve Dış Tic. A.Ş.	Printed fabrics	PC0039	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	1.0
Foshan Sanshui Tronfung Textile Ltd. 佛山市三水创峰纺织染有限公司	Greige yarns	PC0030	Highly combed yarns	PD0103	Cotton - Organic	RM0104	100.0
Tafeks Tekstil San. ve Dış Tic. A.Ş.	Undyed fabrics	PC0027	Knitted fabrics	PD0058	Cotton - Organic	RM0104	100.0
Tafeks Tekstil San. ve Dış Tic. A.Ş. ( CU 1028117 )	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton - Organic	RM0104	100.0
Foshan Sanshui Tronfung Textile Ltd. 佛山市三水创峰纺织染有限公司	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton - Organic	RM0104	100.0
TAERIM TRADING Co., Ltd	Undyed fabrics	PC0027	Knitted fabrics	PD0058	Metallic fibers - Non Certified	RM0254	40.0
TAERIM TRADING Co., Ltd	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.0
TAERIM TRADING Co., Ltd	Fabrics	PC0028	Special fabrics	PD0063	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	21.0
TAFKO TEKSTIL SANAYI VE DIS TICARET ANONIM SIRKETI BURSA MERKEZ SUBESI	Greige fabrics	PC0026	Knitted fabrics	PD0058	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100.00
TAEKWANG I.N.T Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Cotton -  Recycled Pre-Consumer	RM0106	50.0
TAEKWANG I.N.T Co., Ltd.	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Post-Consumer	RM0185	40.0
TAEKWANG Industrial co.,ltd	Processed pre-consumer materials	PC0041	Chips (pellets)	PD0085	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100.0
TAEKWANG INDUSTRIAL CO.LTD	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.0
TAEKWANG INDUSTRIAL CO.LTD	Dyed fibers	PC0033	Staple fibers	PD0079	Polyester -  Recycled Post-Consumer	RM0189	20.0
TAEKWANG INDUSTRIAL CO.LTD	Greige yarns	PC0030	Carded yarns	PD0067	Acetate - Non Certified	RM0218	40.0
Foshan Shunde District Jinfeng Bleaching and Dyeing Co.,Ltd. Shunde Branch	Greige yarns	PC0030	Carded yarns	PD0067	Cotton -  Recycled Pre-Consumer	RM0106	50-99
TAEKWANG INDUSTRIAL CO.LTD	Undyed fibers	PC0034	Lint cotton	PD0074	Cotton - Organic	RM0104	100.0
TAEKWANG INDUSTRIAL CO.LTD	Undyed yarns	PC0031	Normally combed yarns 	PD0102	Cotton - Non Certified	RM0102	60.0
TAEKWANG SYNTHETIC FIBER (Changshu) Co.,Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	10.00
TAEKWANG SYNTHETIC FIBER (Changshu) Co.,Ltd.	Greige yarns	PC0030	Filament	PD0069	Elastane (spandex) -  Recycled Pre-Consumer	RM0162	100.00
TAFKO TEKSTIL SANAYI VE DIS TICARET ANONIM SIRKETI BURSA MERKEZ SUBESI	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	5.00
TAFKO TEKSTIL SANAYI VE DIS TICARET ANONIM SIRKETI BURSA MERKEZ SUBESI	Greige yarns	PC0030	Carded yarns	PD0067	Cotton - Organic	RM0104	100.00
TAERIM TRADING Co., Ltd	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Metallic fibers - Non Certified	RM0254	45.0
TAEKWANG SYNTHETIC FIBER (Changshu) Co.,Ltd. 泰光化纤（常熟）有限公司	Greige yarns	PC0030	Filament	PD0069	Elastane (spandex) -  Recycled Pre-Consumer	RM0162	100.0
TAEKYUNG CO., LTD	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	40.0
TAEKYUNG CO., LTD.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	30%-60%
TAEKYUNG CO., LTD.	Printed fabrics	PC0039	Other	PD0100	Cotton - Non Certified	RM0102	30%-60%
TAEKYUNG CO.,LTD	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	40.0
TAELIM CO.,LTD.	Processed post-consumer materials	PC0035	Chips (pellets)	PD0085	Polyethylene -  Recycled Post-Consumer	RM0193	100.0
Foshan Shunde District Jinfeng Bleaching and Dyeing Co., Ltd. Shunde Branch 佛山市顺德区金丰漂染有限公司顺德分公司	Dyed yarns	PC0029	Carded yarns	PD0067	Acrylic - Non Certified	RM0156	50.0
Foshan Shunde District Jinfeng Bleaching and Dyeing Co., Ltd. Shunde Branch 佛山市顺德区金丰漂染有限公司顺德分公司	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100.0
TAELIM WASHING	Printed fabrics	PC0039	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	56%
TAEOH CORPORATION	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	14.0
TAERIM Co.,Ltd.	Processed post-consumer materials	PC0035	Chips (pellets)	PD0085	Polyethylene -  Recycled Post-Consumer	RM0193	100.0
Taerim textile	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100.0
TACGIN PLASTIK TEKSTIL HURDA GERI DONUSUM SANAYI VE TICARET LIMITED SIRKETI	Processed post-consumer materials	PC0035	Chips (pellets)	PD0085	Polypropylene  -  Recycled Post-Consumer	RM0205	100.00
TABOR SRL	Other	PC0038	Other	PD0100	Polyester -  Recycled Post-Consumer	RM0189	100.00
